"NOMBRE DE LA SERIE",DF_MESNAA20F1U62240Z01E,DF_MESNAA20I1U62240Z01E,DF_MESNAA20J1U62240Z01E,DF_MESNAA20F1U62251Z01E,DF_MESNAA20I1U62251Z01E,DF_MESNAA20J1U62251Z01E,DF_MESNAA22A1U62250Z01E,DF_MESNAA21A1U62250Z01E,DF_MESNAA23A1U62250Z01E,DF_MESNAA23A1U62253Z01E,DF_MESNAA20A1U62252Z01E
"NÚMERO SECUENCIAL",2788915,2788916,2788917,2788918,2788919,2788920,2788921,2788922,2788923,2792860,902441
"ALIAS DE LA SERIE","BE_8_18.1","BE_8_18.2","BE_8_18.3","BE_8_18.4","BE_8_18.5","BE_8_18.6","BE_8_18.7","BE_8_18.8","BE_8_18.9","BE_8_18.10","BE_8_18.11"
"DESCRIPCIÓN DE LA SERIE","OIFM. Balance según estados UEM. Préstamos y créditos. Hasta 1 año. A SNF","OIFM. Balance según estados UEM. Préstamos y créditos. Entre 1 año y 5 años. A SNF","OIFM. Balance según estados UEM. Préstamos y créditos. Más de 5 años. A SNF","OIFM. Balance según estados UEM. Préstamos y créditos. Hasta 1 año. A hogares","OIFM. Balance según estados UEM. Préstamos y créditos. Entre 1 y 5 años. A hogares","OIFM. Balance según estados UEM. Préstamos y créditos. Más de 5 años. A hogares","OIFM. Balance según estados UEM. Préstamos y créditos. A hogares. Crédito vivienda","OIFM. Balance según estados UEM. Préstamos y créditos. A hogares. Crédito al consumo","OIFM. Balance según estados UEM. Préstamos y créditos. A hogares. Hogares. Otros fines","OIFM. Balance según estados UEM. Préstamos y créditos. A hogares e ISFLSH. Otros fines. Empresarios individuales","OIFM. Balance según estados UEM. Préstamos y créditos. A instituciones sin fines de lucro"
"DESCRIPCIÓN DE LAS UNIDADES","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros"
"FRECUENCIA","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL"
"SEP 1997","_","_","_","_","_","_","_","_","_","_",1545
"OCT 1997","_","_","_","_","_","_","_","_","_","_","_"
"NOV 1997","_","_","_","_","_","_","_","_","_","_","_"
"DIC 1997","_","_","_","_","_","_","_","_","_","_",1777
"ENE 1998","_","_","_","_","_","_","_","_","_","_","_"
"FEB 1998","_","_","_","_","_","_","_","_","_","_","_"
"MAR 1998","_","_","_","_","_","_","_","_","_","_",1948
"ABR 1998","_","_","_","_","_","_","_","_","_","_","_"
"MAY 1998","_","_","_","_","_","_","_","_","_","_","_"
"JUN 1998","_","_","_","_","_","_","_","_","_","_",2056
"JUL 1998","_","_","_","_","_","_","_","_","_","_","_"
"AGO 1998","_","_","_","_","_","_","_","_","_","_","_"
"SEP 1998","_","_","_","_","_","_","_","_","_","_",2167
"OCT 1998","_","_","_","_","_","_","_","_","_","_","_"
"NOV 1998","_","_","_","_","_","_","_","_","_","_","_"
"DIC 1998","_","_","_","_","_","_","_","_","_","_",2297
"ENE 1999","_","_","_","_","_","_","_","_","_","_","_"
"FEB 1999","_","_","_","_","_","_","_","_","_","_","_"
"MAR 1999","_","_","_","_","_","_","_","_","_","_",2228
"ABR 1999","_","_","_","_","_","_","_","_","_","_","_"
"MAY 1999","_","_","_","_","_","_","_","_","_","_","_"
"JUN 1999","_","_","_","_","_","_","_","_","_","_",2199
"JUL 1999","_","_","_","_","_","_","_","_","_","_","_"
"AGO 1999","_","_","_","_","_","_","_","_","_","_","_"
"SEP 1999","_","_","_","_","_","_","_","_","_","_",2307
"OCT 1999","_","_","_","_","_","_","_","_","_","_","_"
"NOV 1999","_","_","_","_","_","_","_","_","_","_","_"
"DIC 1999","_","_","_","_","_","_","_","_","_","_",2703
"ENE 2000","_","_","_","_","_","_","_","_","_","_","_"
"FEB 2000","_","_","_","_","_","_","_","_","_","_","_"
"MAR 2000","_","_","_","_","_","_","_","_","_","_",2815
"ABR 2000","_","_","_","_","_","_","_","_","_","_","_"
"MAY 2000","_","_","_","_","_","_","_","_","_","_","_"
"JUN 2000","_","_","_","_","_","_","_","_","_","_",2889
"JUL 2000","_","_","_","_","_","_","_","_","_","_","_"
"AGO 2000","_","_","_","_","_","_","_","_","_","_","_"
"SEP 2000","_","_","_","_","_","_","_","_","_","_",3010
"OCT 2000","_","_","_","_","_","_","_","_","_","_","_"
"NOV 2000","_","_","_","_","_","_","_","_","_","_","_"
"DIC 2000","_","_","_","_","_","_","_","_","_","_",2858
"ENE 2001","_","_","_","_","_","_","_","_","_","_","_"
"FEB 2001","_","_","_","_","_","_","_","_","_","_","_"
"MAR 2001","_","_","_","_","_","_","_","_","_","_",2709
"ABR 2001","_","_","_","_","_","_","_","_","_","_","_"
"MAY 2001","_","_","_","_","_","_","_","_","_","_","_"
"JUN 2001","_","_","_","_","_","_","_","_","_","_",2785
"JUL 2001","_","_","_","_","_","_","_","_","_","_","_"
"AGO 2001","_","_","_","_","_","_","_","_","_","_","_"
"SEP 2001","_","_","_","_","_","_","_","_","_","_",2835
"OCT 2001","_","_","_","_","_","_","_","_","_","_","_"
"NOV 2001","_","_","_","_","_","_","_","_","_","_","_"
"DIC 2001","_","_","_","_","_","_","_","_","_","_",2809
"ENE 2002","_","_","_","_","_","_","_","_","_","_","_"
"FEB 2002","_","_","_","_","_","_","_","_","_","_","_"
"MAR 2002","_","_","_","_","_","_","_","_","_","_",2807
"ABR 2002","_","_","_","_","_","_","_","_","_","_","_"
"MAY 2002","_","_","_","_","_","_","_","_","_","_","_"
"JUN 2002","_","_","_","_","_","_","_","_","_","_",2476
"JUL 2002","_","_","_","_","_","_","_","_","_","_","_"
"AGO 2002","_","_","_","_","_","_","_","_","_","_","_"
"SEP 2002","_","_","_","_","_","_","_","_","_","_",2520
"OCT 2002","_","_","_","_","_","_","_","_","_","_","_"
"NOV 2002","_","_","_","_","_","_","_","_","_","_","_"
"DIC 2002","_","_","_","_","_","_","_","_","_","_",2495
"ENE 2003","_","_","_","_","_","_","_","_","_","_",2598
"FEB 2003","_","_","_","_","_","_","_","_","_","_",2488
"MAR 2003","_","_","_","_","_","_","_","_","_","_",2467
"ABR 2003","_","_","_","_","_","_","_","_","_","_",2487
"MAY 2003","_","_","_","_","_","_","_","_","_","_",2545
"JUN 2003","_","_","_","_","_","_","_","_","_","_",2570
"JUL 2003","_","_","_","_","_","_","_","_","_","_",2650
"AGO 2003","_","_","_","_","_","_","_","_","_","_",2672
"SEP 2003","_","_","_","_","_","_","_","_","_","_",2697
"OCT 2003","_","_","_","_","_","_","_","_","_","_",3000
"NOV 2003","_","_","_","_","_","_","_","_","_","_",3229
"DIC 2003","_","_","_","_","_","_","_","_","_","_",3047
"ENE 2004","_","_","_","_","_","_","_","_","_","_",2913
"FEB 2004","_","_","_","_","_","_","_","_","_","_",3050
"MAR 2004","_","_","_","_","_","_","_","_","_","_",3151
"ABR 2004","_","_","_","_","_","_","_","_","_","_",3140
"MAY 2004","_","_","_","_","_","_","_","_","_","_",3200
"JUN 2004","_","_","_","_","_","_","_","_","_","_",3214
"JUL 2004","_","_","_","_","_","_","_","_","_","_",3377
"AGO 2004","_","_","_","_","_","_","_","_","_","_",3421
"SEP 2004","_","_","_","_","_","_","_","_","_","_",3453
"OCT 2004","_","_","_","_","_","_","_","_","_","_",3493
"NOV 2004","_","_","_","_","_","_","_","_","_","_",3620
"DIC 2004","_","_","_","_","_","_","_","_","_","_",3707
"ENE 2005","_","_","_","_","_","_","_","_","_","_",3673
"FEB 2005","_","_","_","_","_","_","_","_","_","_",3598
"MAR 2005","_","_","_","_","_","_","_","_","_","_",3577
"ABR 2005","_","_","_","_","_","_","_","_","_","_",3623
"MAY 2005","_","_","_","_","_","_","_","_","_","_",3684
"JUN 2005","_","_","_","_","_","_","_","_","_","_",4200
"JUL 2005","_","_","_","_","_","_","_","_","_","_",4376
"AGO 2005","_","_","_","_","_","_","_","_","_","_",4311
"SEP 2005","_","_","_","_","_","_","_","_","_","_",4355
"OCT 2005","_","_","_","_","_","_","_","_","_","_",4529
"NOV 2005","_","_","_","_","_","_","_","_","_","_",4515
"DIC 2005","_","_","_","_","_","_","_","_","_","_",4666
"ENE 2006","_","_","_","_","_","_","_","_","_","_",4558
"FEB 2006","_","_","_","_","_","_","_","_","_","_",4566
"MAR 2006","_","_","_","_","_","_","_","_","_","_",4787
"ABR 2006","_","_","_","_","_","_","_","_","_","_",4855
"MAY 2006","_","_","_","_","_","_","_","_","_","_",4882
"JUN 2006","_","_","_","_","_","_","_","_","_","_",5095
"JUL 2006","_","_","_","_","_","_","_","_","_","_",5361
"AGO 2006","_","_","_","_","_","_","_","_","_","_",5335
"SEP 2006","_","_","_","_","_","_","_","_","_","_",5359
"OCT 2006","_","_","_","_","_","_","_","_","_","_",5342
"NOV 2006","_","_","_","_","_","_","_","_","_","_",5336
"DIC 2006","_","_","_","_","_","_","_","_","_","_",5704
"ENE 2007","_","_","_","_","_","_","_","_","_","_",5741
"FEB 2007","_","_","_","_","_","_","_","_","_","_",5832
"MAR 2007",205458,215997,358724,36433,58181,673150,570989,93753,103021,"_",5743
"ABR 2007",211105,220020,364191,36425,58358,680900,577410,94642,103630,"_",5903
"MAY 2007",213350,225750,371150,37068,58720,687985,584388,94597,104788,"_",5735
"JUN 2007",217955,230567,381021,41990,59233,697148,593655,97141,107576,"_",5955
"JUL 2007",222887,238535,390019,38663,59998,706564,602282,98299,104644,"_",5862
"AGO 2007",222410,238799,392182,37911,59939,710583,605137,98713,104585,"_",5871
"SEP 2007",227122,243033,396728,37557,60113,715287,609791,98259,104907,"_",6106
"OCT 2007",226194,244121,401607,38441,60868,722763,615516,100380,106176,"_",5894
"NOV 2007",226471,246235,408940,43089,61547,730038,621282,102660,110732,"_",5941
"DIC 2007",223758,249646,419586,40105,61454,732778,623540,103375,107422,"_",6089
"ENE 2008",223218,253537,422759,39996,61228,736701,626946,103323,107656,"_",6027
"FEB 2008",221712,255151,427031,39320,61256,742331,631376,103847,107684,"_",5805
"MAR 2008",225387,254701,431918,39086,61171,746799,635010,103830,108216,"_",5804
"ABR 2008",223999,255400,437309,39300,61275,753219,639875,104221,109697,"_",5833
"MAY 2008",225011,255108,441420,39796,61467,758165,643488,105435,110504,"_",5782
"JUN 2008",224679,259548,445335,45449,61311,761747,645286,106147,117073,"_",5952
"JUL 2008",227012,260367,451365,41189,60962,766587,648473,106374,113891,"_",6070
"AGO 2008",222955,260873,453354,40416,60196,768510,650254,105337,113530,"_",6046
"SEP 2008",226000,261100,457363,40448,59554,770203,651958,104332,113915,"_",6063
"OCT 2008",228207,259447,463047,40573,59358,772867,653988,104246,114563,"_",6239
"NOV 2008",226474,257178,466855,44945,58619,775136,655437,103675,119589,"_",6235
"DIC 2008",223769,258967,469339,41676,57553,775100,655144,102330,116855,"_",6091
"ENE 2009",222770,257768,472067,40869,56022,775393,655156,100928,116199,"_",5534
"FEB 2009",219052,259275,473181,39355,55280,775191,654691,99691,115444,"_",5226
"MAR 2009",212532,260772,477442,38578,54504,772118,651495,98278,115426,"_",5125
"ABR 2009",211672,260985,479678,38377,54009,773778,651949,97780,116434,"_",5252
"MAY 2009",207277,261415,482038,38231,53120,775007,651846,97302,117211,"_",5254
"JUN 2009",200627,255565,482489,43606,52584,775541,651564,97770,122398,"_",5382
"JUL 2009",195331,251303,488003,38686,52933,777590,652787,97792,118631,"_",5487
"AGO 2009",189396,247772,488008,37469,51626,777726,652283,96674,117864,"_",5558
"SEP 2009",188024,246642,488838,37976,50919,778309,652434,95999,118771,"_",5457
"OCT 2009",185873,245899,489678,37749,50428,779808,653344,95573,119068,"_",5469
"NOV 2009",183684,242982,490776,42135,49931,780988,653780,93777,125497,"_",5403
"DIC 2009",178891,244214,492000,37696,49194,780992,654566,92391,120925,"_",5523
"ENE 2010",176188,241739,490476,37670,48401,780966,654884,91322,120830,"_",5285
"FEB 2010",173539,241592,491762,36684,47993,781541,655344,90264,120611,"_",5362
"MAR 2010",173021,240659,492798,36291,47392,781121,655473,89392,119939,"_",5372
"ABR 2010",170354,241432,491903,36697,46513,782809,655779,89052,121187,"_",5704
"MAY 2010",170804,241070,492822,36996,44970,786370,657748,87754,122835,"_",5651
"JUN 2010",165983,242903,497227,37836,39988,801744,660436,88147,130985,54996,5840
"JUL 2010",163402,241041,501526,33239,40001,800198,660926,86582,125929,55876,5933
"AGO 2010",158889,239699,500659,32833,39218,800493,659894,85978,126672,58674,5737
"SEP 2010",164471,239017,499914,31597,38627,797643,659232,84041,124594,55977,5743
